time,open,high,low,close
1659686220,4158.5,4159.5,4158.5,4158.75
1659686280,4159,4159.25,4159,4159
1659686340,4158.75,4159,4158.5,4159
1659686400,4159,4159,4157.75,4157.75
1659686460,4158,4159,4157.5,4159
1659686520,4158.75,4158.75,4157.5,4157.5
1659686580,4157.75,4158.25,4157.5,4158.25
1659686640,4158.25,4158.75,4157.75,4158.75
1659686700,4158.75,4159,4158,4158.5
1659686760,4158.5,4158.5,4158.25,4158.25
1659686820,4158.5,4158.75,4158.25,4158.5
1659686880,4158.75,4160,4158.75,4159.75
1659686940,4159.75,4160,4159.25,4159.25
1659687000,4158.75,4159,4158.5,4158.5
1659687060,4158.25,4158.5,4157.75,4158
1659687120,4158.25,4158.25,4157.5,4157.5
1659687180,4157.25,4157.25,4156.75,4156.75
1659687240,4157,4157.25,4156.75,4157
1659687300,4157,4157,4156.25,4156.75
1659687360,4156.75,4157.5,4156.5,4157.5
1659687420,4157.5,4157.5,4157,4157.25
1659687480,4157.25,4157.25,4155,4155
1659687540,4155.25,4156.25,4155,4156
1659687600,4156,4156.5,4155.75,4156.25
1659687660,4156.25,4156.25,4155,4155
1659687720,4155,4155.75,4155,4155.75
1659687780,4155.75,4155.75,4155.25,4155.5
1659687840,4155.75,4156,4155.5,4155.75
1659687900,4155.75,4155.75,4155.25,4155.75
1659687960,4155.5,4155.75,4155,4155
1659688020,4155.25,4155.5,4155,4155.25
1659688080,4155,4155,4154.5,4154.75
1659688140,4154.75,4155,4153.75,4154.25
1659688200,4154,4154.5,4153.5,4154.5
1659688260,4154.5,4155,4154.25,4154.5
1659688320,4154.5,4154.75,4154.25,4154.25
1659688380,4154.5,4155.25,4154.5,4155
1659688440,4154.75,4154.75,4153.5,4154.25
1659688500,4154,4154,4153.5,4153.75
1659688560,4154,4154.25,4153.5,4154
1659688620,4154,4154.5,4154,4154
1659688680,4153.75,4154,4153.75,4154
1659688740,4154,4154.25,4152.5,4152.5
1659688800,4152.25,4154,4152.25,4153.5
1659688860,4153.25,4153.75,4153,4153
1659688920,4152.75,4153,4152,4152
1659688980,4152.25,4152.25,4151.5,4151.5
1659689040,4151.5,4151.5,4150.5,4150.75
1659689100,4150.75,4152,4150.75,4151.25
1659689160,4151.25,4151.5,4151,4151
1659689220,4151.25,4151.5,4150.5,4150.5
1659689280,4150.5,4151,4150,4150.25
1659689340,4150.25,4151.25,4150,4151
1659689400,4151,4152.25,4151,4151.5
1659689460,4151.75,4151.75,4150.75,4151.25
1659689520,4151.25,4152,4151.25,4151.5
1659689580,4151.5,4152.25,4151.5,4152
1659689640,4152.25,4152.5,4152.25,4152.5
1659689700,4152.5,4153,4152.25,4152.5
1659689760,4152.75,4152.75,4151.75,4152.25
1659689820,4152,4152.25,4151.75,4151.75
1659689880,4151.75,4152,4151.25,4151.5
1659689940,4151.75,4152.75,4151.75,4152.5
1659690000,4152.75,4152.75,4151.75,4152
1659690060,4151.75,4152,4151.5,4151.75
1659690120,4151.5,4151.5,4151,4151.25
1659690180,4151.5,4151.75,4151.25,4151.25
1659690240,4151.5,4152,4151.25,4151.75
1659690300,4152,4152.5,4151.75,4152.5
1659690360,4152.5,4152.5,4151.75,4151.75
1659690420,4151.75,4152,4151.75,4151.75
1659690480,4151.75,4151.75,4151,4151.25
1659690540,4151,4151.25,4150.5,4150.5
1659690600,4150.5,4151,4150,4150.5
1659690660,4151,4151.5,4151,4151.5
1659690720,4151.5,4151.5,4150.75,4151
1659690780,4151.25,4151.75,4151,4151.75
1659690840,4152,4152.25,4151.75,4152
1659690900,4152,4152.75,4152,4152.75
1659690960,4153,4153.5,4153,4153.25
1659691020,4153,4153.75,4152.75,4153.75
1659691080,4153.75,4153.75,4152.75,4153.75
1659691140,4153.75,4154.25,4153.75,4154.25
1659691200,4154.25,4154.75,4154,4154
1659691260,4154,4154.5,4154,4154.5
1659691320,4154.5,4155,4154.5,4154.75
1659691380,4154.75,4155,4154.25,4154.5
1659691440,4154.5,4155,4154.5,4154.5
1659691500,4154.25,4154.75,4154,4154.5
1659691560,4154.5,4154.5,4154.5,4154.5
1659691620,4154.25,4154.5,4153.75,4153.75
1659691680,4153.75,4154.25,4153.75,4154
1659691740,4153.75,4154.25,4153.5,4153.75
1659691800,4153.75,4154.25,4153.75,4154
1659691860,4154.25,4154.25,4153.25,4153.5
1659691920,4153.25,4153.75,4152.75,4153.5
1659691980,4153.75,4154,4153.25,4153.5
1659692040,4153.5,4153.5,4152.25,4152.75
1659692100,4152.75,4153,4152.5,4153
1659692160,4153,4153.25,4152.5,4153.25
1659692220,4153.25,4153.25,4153.25,4153.25
1659692280,4153,4153,4152.25,4152.25
1659692340,4152.5,4152.75,4152,4152.5
1659692400,4152.75,4153,4152.5,4153
1659692460,4153.25,4154,4153,4153.75
1659692520,4153.75,4154,4153.75,4153.75
1659692580,4153.75,4153.75,4153.25,4153.25
1659692640,4153.5,4153.5,4152.75,4153
1659692700,4152.75,4152.75,4149.75,4150.75
1659692760,4150.75,4151,4150,4150
1659692820,4150,4150.5,4150,4150.5
1659692880,4150.5,4151.5,4150.5,4151
1659692940,4151,4151.75,4151,4151.75
1659693000,4151.5,4153,4151.5,4153
1659693060,4153,4153.25,4152.5,4153.25
1659693120,4153.25,4154.25,4153,4154.25
1659693180,4154.25,4154.75,4154,4154.5
1659693240,4154.5,4154.5,4153.75,4154.5
1659693300,4154.5,4154.5,4154,4154
